Graph,Source,Destination
g10_ignore_10,5.777359,0.999939
g10_ignore_100,6.800464,1.999899
g10_ignore_1000,1.0,9.465253
g10_ignore_10000,1.0,11.358102
g10_ignore_bimodal_exponential_10,6.194836,0.999965
g10_ignore_bimodal_exponential_100,0.743092,7.953353
g10_ignore_bimodal_exponential_1000,4.722902,4.321217
g10_ignore_bimodal_exponential_10000,0.578795,5.616602
g10_ignore_bimodal_uniform_10,3.146286,1.997503
g10_ignore_bimodal_uniform_100,6.397834,5.920974
g10_ignore_bimodal_uniform_1000,0.798829,7.456504
g10_ignore_bimodal_uniform_10000,6.357512,6.460492
g10_ignore_uniform_10,2.237397,1.576621
g10_ignore_uniform_100,9.432542,1.0
g10_ignore_uniform_1000,12.213104,1.0
g10_ignore_uniform_10000,1.0,6.918863
g10_merge_10,12.583009,5.15923
g10_merge_100,9.048391,8.982989
g10_merge_1000,0.997503,4.146286
g10_merge_10000,2.955628,12.766732
g10_merge_bimodal_exponential_10,5.305031,12.583856
g10_merge_bimodal_exponential_100,12.49904,5.995229
g10_merge_bimodal_exponential_1000,1.0,7.383704
g10_merge_bimodal_exponential_10000,2.807355,6.599913
g10_merge_bimodal_uniform_10,4.276884,6.150486
g10_merge_bimodal_uniform_100,3.584963,1.0
g10_merge_bimodal_uniform_1000,12.532163,5.041549
g10_merge_bimodal_uniform_10000,1.811278,1.5
g10_merge_uniform_10,12.793255,2.807355
g10_merge_uniform_100,3.761276,6.208635
g10_merge_uniform_1000,6.458157,3.019054
g10_merge_uniform_10000,5.092649,12.414475
