Original File,Threshold,Filtered File,Nodes,Edges
g10_ignore.pickle,10,g10_ignore_filtered_10.pkl,11746,36523
g10_ignore.pickle,100,g10_ignore_filtered_100.pkl,11746,36523
g10_ignore.pickle,1000,g10_ignore_filtered_1000.pkl,11746,36523
g10_ignore.pickle,10000,g10_ignore_filtered_10000.pkl,11746,36523
g10_ignore_bimodal_exponential.pickle,10,g10_ignore_bimodal_exponential_filtered_10.pkl,11746,36523
g10_ignore_bimodal_exponential.pickle,100,g10_ignore_bimodal_exponential_filtered_100.pkl,11746,36510
g10_ignore_bimodal_exponential.pickle,1000,g10_ignore_bimodal_exponential_filtered_1000.pkl,11746,36404
g10_ignore_bimodal_exponential.pickle,10000,g10_ignore_bimodal_exponential_filtered_10000.pkl,11746,35407
g10_ignore_bimodal_uniform.pickle,10,g10_ignore_bimodal_uniform_filtered_10.pkl,11746,36514
g10_ignore_bimodal_uniform.pickle,100,g10_ignore_bimodal_uniform_filtered_100.pkl,11746,36449
g10_ignore_bimodal_uniform.pickle,1000,g10_ignore_bimodal_uniform_filtered_1000.pkl,11746,35819
g10_ignore_bimodal_uniform.pickle,10000,g10_ignore_bimodal_uniform_filtered_10000.pkl,11746,33180
g10_ignore_uniform.pickle,10,g10_ignore_uniform_filtered_10.pkl,11746,36523
g10_ignore_uniform.pickle,100,g10_ignore_uniform_filtered_100.pkl,11746,36516
g10_ignore_uniform.pickle,1000,g10_ignore_uniform_filtered_1000.pkl,11746,36455
g10_ignore_uniform.pickle,10000,g10_ignore_uniform_filtered_10000.pkl,11746,35804
g10_merge.pickle,10,g10_merge_filtered_10.pkl,11746,55102
g10_merge.pickle,100,g10_merge_filtered_100.pkl,11746,55102
g10_merge.pickle,1000,g10_merge_filtered_1000.pkl,11746,55102
g10_merge.pickle,10000,g10_merge_filtered_10000.pkl,11746,51414
g10_merge_bimodal_exponential.pickle,10,g10_merge_bimodal_exponential_filtered_10.pkl,11746,55087
g10_merge_bimodal_exponential.pickle,100,g10_merge_bimodal_exponential_filtered_100.pkl,11746,54912
g10_merge_bimodal_exponential.pickle,1000,g10_merge_bimodal_exponential_filtered_1000.pkl,11746,53116
g10_merge_bimodal_exponential.pickle,10000,g10_merge_bimodal_exponential_filtered_10000.pkl,11746,48359
g10_merge_bimodal_uniform.pickle,10,g10_merge_bimodal_uniform_filtered_10.pkl,11746,54928
g10_merge_bimodal_uniform.pickle,100,g10_merge_bimodal_uniform_filtered_100.pkl,11746,53551
g10_merge_bimodal_uniform.pickle,1000,g10_merge_bimodal_uniform_filtered_1000.pkl,11746,50543
g10_merge_bimodal_uniform.pickle,10000,g10_merge_bimodal_uniform_filtered_10000.pkl,11746,42848
g10_merge_uniform.pickle,10,g10_merge_uniform_filtered_10.pkl,11746,55072
g10_merge_uniform.pickle,100,g10_merge_uniform_filtered_100.pkl,11746,54920
g10_merge_uniform.pickle,1000,g10_merge_uniform_filtered_1000.pkl,11746,53157
g10_merge_uniform.pickle,10000,g10_merge_uniform_filtered_10000.pkl,11746,48746
