Type,Node,Probability
Source,0394693794f93d1e9b1034ab6d217af57a0de3d8ab18e3489d07c6819b2a780944,1.0
Probability of Source 0394693794f93d1e9b1034ab6d217af57a0de3d8ab18e3489d07c6819b2a780944: 1.0
Destination,02bd374d2e1e347adc035a48b21ee1ccbc4060f96e118e234baa585125e43bd165,0.5
Probability of Destination 02bd374d2e1e347adc035a48b21ee1ccbc4060f96e118e234baa585125e43bd165: 0.5
Destination,0388e0278a212284bcaf7c987b873e8c30837e13f7e4e815ba67c0a470c0e92adb,0.5
Probability of Destination 0388e0278a212284bcaf7c987b873e8c30837e13f7e4e815ba67c0a470c0e92adb: 0.5

Most Probable Source: 0394693794f93d1e9b1034ab6d217af57a0de3d8ab18e3489d07c6819b2a780944, Most Probable Destination: 02bd374d2e1e347adc035a48b21ee1ccbc4060f96e118e234baa585125e43bd165

Average probability of source: 0.5
Average probability of destination: 0.3333333333333333

Summary,,
Most Probable Source,0394693794f93d1e9b1034ab6d217af57a0de3d8ab18e3489d07c6819b2a780944,
Most Probable Destination,02bd374d2e1e347adc035a48b21ee1ccbc4060f96e118e234baa585125e43bd165,
Average Source Probability,,0.5
Average Destination Probability,,0.3333333333333333
