Type,Node,Probability
Source,039275e7865f742431f2ee9136fa8bb6c9d2bd6affc5cdbe3ceb543a597750035d,1.0
Probability of Source 039275e7865f742431f2ee9136fa8bb6c9d2bd6affc5cdbe3ceb543a597750035d: 1.0
Destination,020caafdab16dce440a4802b2fdc42bfa0592e482322e70d67d73e3e958a7d6b4c,0.5
Probability of Destination 020caafdab16dce440a4802b2fdc42bfa0592e482322e70d67d73e3e958a7d6b4c: 0.5
Destination,03fbe1c1baedbc99b2642ae524d9c2a6f12b771a3ab91e0f56ca6efc6f7f7d53b6,0.5
Probability of Destination 03fbe1c1baedbc99b2642ae524d9c2a6f12b771a3ab91e0f56ca6efc6f7f7d53b6: 0.5

Most Probable Source: 039275e7865f742431f2ee9136fa8bb6c9d2bd6affc5cdbe3ceb543a597750035d, Most Probable Destination: 020caafdab16dce440a4802b2fdc42bfa0592e482322e70d67d73e3e958a7d6b4c

Average probability of source: 1.0
Average probability of destination: 0.5

Summary,,
Most Probable Source,039275e7865f742431f2ee9136fa8bb6c9d2bd6affc5cdbe3ceb543a597750035d,
Most Probable Destination,020caafdab16dce440a4802b2fdc42bfa0592e482322e70d67d73e3e958a7d6b4c,
Average Source Probability,,1.0
Average Destination Probability,,0.5
