Type,Node,Probability
Source,022e5fb4aacd3d96555c3b0a9481a2d8b64d20603fb94661eda206f970b956078f,0.375
Source,0232f6dcaf2aff68fec5162dbf14661d212f7546b999f3f7722cb166fcdeb09179,0.375
Source,03c0adb9a1628dd289ddb16edbd830b16a39136dd58e5dbcbac4b1d674f7a3d11b,0.125
Source,03d1254e69c167c6eb74df37350027cea2badfd4375217be12563f24b0fef4d2be,0.125
Destination,02c8d72638ddf8d20774500d64118acdda6d2ce4854257ae7ed114941dcf58914a,0.5
Destination,038bfa45f17cbe138bf14b7f6cb340a566d8e984252348c451b574af6abe560ec5,0.25
Destination,029c2704d82c8e9fede44c715fb2cce8bc4aa7420dbbc01f8fe8942ee0f48a71a7,0.25

Summary,,
Most Probable Source,022e5fb4aacd3d96555c3b0a9481a2d8b64d20603fb94661eda206f970b956078f,
Most Probable Destination,02c8d72638ddf8d20774500d64118acdda6d2ce4854257ae7ed114941dcf58914a,
Average Source Probability,,0.25
Average Destination Probability,,0.3333333333333333
