Type,Node,Probability
Source,039f5888701d162da5c6fda161521aea1df813d845405f964ec54bc432b3ce4879,0.23076923076923078
Source,024feebf8f38d2fb62c8a047d9943d2f28aba9a6597c5ee9db443718b22bb46919,0.23076923076923078
Source,02c7e1d98a1e2b61a14e3c1c0d9a36fc8eb257325f2277e8bcbe10b21337f2a45e,0.23076923076923078
Source,03579f22eceb386f69b8121dc8a8a6057593735008d2a7aa2a60a1f7f6e0dbd6a3,0.07692307692307693
Source,03699d0da418aeb19cf6f9bfd0fb6f4188872993011be4821d8a414aef6a10acf7,0.23076923076923078
Destination,02d4b432058ec31e38f6f35d22a487b7db04c4bf70f201f601b66f7b4358242b03,0.38461538461538464
Destination,02c75ea34304029851769b13e9ccfddf03166562cc045023d7565aefdd26d74a6c,0.3076923076923077
Destination,0286c1c541ec142c10f3bfb13b668de151f0ce00ac15671c191dccbecacdc3eb2c,0.3076923076923077

Summary,,
Most Probable Source,039f5888701d162da5c6fda161521aea1df813d845405f964ec54bc432b3ce4879,
Most Probable Destination,02d4b432058ec31e38f6f35d22a487b7db04c4bf70f201f601b66f7b4358242b03,
Average Source Probability,,0.2
Average Destination Probability,,0.3333333333333333
